apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
1-com.xmascoollivewallpaper.ny.pcap,663,294022,16,0,0,563,100,345,108095,320,186735,1.73,52,149.5,313.32,583.55,0.0,4252,2852,1.08,0.03,0.00,0.39,0.03,153.5,1.34,0.35,0.01,294.05,0.01,1
1-com.xmassongslivewallpaper.lwxw.pcap,18203,2152555,2,2041,0,18201,2,9307,1707095,8898,446268,0.26,60,52.0,183.42,50.15,0.01,468,404,1.05,0.02,0.00,0.25,0.5,90.19,0.5,0.26,0.5,12.43,0.5,1
1-com.yachtscoollivewallpaper.ships.pcap,96,44853,4,0,0,56,40,49,20919,47,23934,1.14,68,125,426.92,509.23,0.0,1452,2051,1.04,0.00,0.00,0.47,0.03,341.63,0.03,0.47,0.03,254.93,0.03,1
1-com.yanobs.freundshaftsSpruche.pcap,835,406504,20,0,0,631,204,424,160284,413,247028,1.54,61.0,238,378.03,598.13,0.0,4252,2852,1.03,0.02,0.00,0.36,0.06,169.11,38.52,0.43,0.01,348.38,0.01,1
1-com.yanobs.hochzeitGedichte.pcap,1088,527286,28,7,0,858,222,558,177895,541,353223,1.99,60.0,361,318.81,652.91,0.0,7142,2888,1.03,0.03,0.00,0.4,0.08,167.6,38.47,0.41,0.0,370.43,0.0,1
1-com.YaseenTra.MonthsOrientalCuisine.pcap,1854,1149786,38,11,0,1579,275,860,216040,1001,934854,4.33,52.0,1278,251.21,933.92,0.0,4252,2948,0.86,0.03,0.00,0.53,0.07,149.72,27.47,0.75,0.0,876.02,0.0,1
1-com.YaseenTra.PreparationDeliciousDesserts.pcap,5,1554,2,0,0,3,2,4,1173,3,1189,1.01,404.0,404,293.25,396.33,0.0,404,404,1.33,6.80,6.80,0.33,0.5,0.33,0.5,0.33,0.5,0.33,0.5,1
1-com.YaseenTra.PrepareTastiestAppetizers.pcap,604,273765,16,0,0,527,77,315,102639,291,171934,1.68,52,184,325.84,590.84,0.0,4252,2852,1.08,0.03,0.00,0.47,0.04,192.63,1.75,0.47,0.01,420.75,0.01,1
1-com.yingyang.livewallpaper.pcap,902,397078,18,0,0,644,258,470,162429,434,235457,1.45,61.0,149.5,345.59,542.53,0.0,4252,2852,1.08,0.00,0.04,0.4,0.07,179.89,44.3,0.41,0.0,353.75,0.0,1
1-com.yudiz.autocallaction.pcap,4121,930843,35,304,0,3933,187,2108,451680,2028,480904,1.06,60.0,52.0,214.27,237.13,0.0,7142,2888,1.04,0.04,0.00,0.38,0.03,128.59,5.27,0.36,0.01,120.86,0.01,1
1-com.yukka.livewallpaper.fireice1.pcap,93,40556,6,0,0,51,42,48,19049,47,22315,1.17,69.0,121,396.85,474.79,0.0,1452,1452,1.02,0.00,0.00,0.31,0.02,311.47,0.02,0.34,0.02,169.47,0.02,1
1-com.yukka.livewallpaper.scrollable3.pcap,640,277867,19,0,0,564,75,334,103290,314,175852,1.7,52.0,131.0,309.25,560.04,0.0,4252,2852,1.06,0.00,0.01,0.41,0.03,170.59,17.28,0.41,0.01,355.59,0.01,1
1-com.yukka.livewallpaper.scrollable45.pcap,726,284835,18,0,0,550,176,393,106019,359,189536,1.79,61,167,269.77,527.96,0.0,2852,2852,1.09,0.00,0.02,0.36,0.02,137.04,1.6,0.35,0.01,282.87,0.01,1
1-com.zemtra.bikecircus.pcap,922,403518,22,0,0,728,194,491,163989,457,250236,1.53,60,149,333.99,547.56,0.0,5652,2852,1.07,0.02,0.00,0.45,0.03,221.38,17.41,0.45,0.01,396.84,0.01,1
1-com.zharski.WinterFireworks.pcap,17742,2122268,2,2012,0,17740,2,9032,1685460,8712,437616,0.26,60.0,52.0,186.61,50.23,0.01,468,404,1.04,0.00,0.02,0.23,0.5,82.79,0.5,0.27,0.5,12.66,0.5,1
1-com.zoltanmobile.darkocean.pcap,1900,1532280,24,7,0,1874,26,850,92534,1086,1452769,15.7,52.0,1500.0,108.86,1337.72,0.0,1452,2852,0.78,12.35,54.25,0.04,0.04,21.83,0.04,0.17,0.04,228.54,0.04,1
1-com.zonder.dolphinsreaflivewallpaper.pcap,731,243545,22,2,0,634,97,394,85567,339,158786,1.86,60.0,93,217.18,468.4,0.0,4209,2948,1.16,0.03,0.00,0.44,0.02,127.73,0.65,0.4,0.01,272.58,0.01,1
1-com.zoryth.kotrdragrace.pcap,773,336317,24,0,0,649,124,398,127008,379,210289,1.66,60.0,149,319.12,554.85,0.0,5652,2852,1.05,0.07,0.00,0.32,0.02,153.6,0.52,0.34,0.01,259.31,0.01,1
1-coma.skyjump.framework.impl1.pcap,197,77691,12,0,0,141,56,107,31621,95,47048,1.49,64,86,295.52,495.24,0.0,1452,2852,1.13,0.00,0.00,0.31,0.02,143.39,0.02,0.33,0.02,275.92,0.02,1
