apkNum,totalPkts,totalPktSize,totalBytesIn,medPktsIn,medPktsOut,avgPktsIn,avgPktSize,maxOutPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgSizepktFlowTCPOut,Result
1-com.blogspot.androidresearch.galaxyshooter,20173,2388212,1894889,60.0,52.0,182.64,0.01,468,1.06,0.0,0.0,0.5,0.24,11.69,1
1-com.dreamtechapps.ilauncher,2281,1041125,465489,60.0,116.0,376.61,0.0,5652,1.13,0.0,0.02,10.69,0.32,255.96,1
0-com.lecortex.WSNCompanion,42,8057,3560,60.0,78.0,154.78,0.01,597,1.0,0.0,0.0,0.25,0.28,47.52,0
1-com.sunnyso.frut,825,347912,124864,60.0,149.0,282.5,0.0,5652,1.09,0.0,0.0,0.01,0.44,410.27,1
1-com.aquariumbeautyphotogallery.aqua,103,16754,6044,52.0,52.0,118.51,0.01,1452,0.94,4.98,5.09,0.12,0.33,124.89,1
1-com.rakesh.trivia.musicpro,864,410914,129213,52.0,347.0,287.78,0.0,5652,1.08,0.0,0.01,12.95,0.49,486.23,1
1-com.udhay.indianrecipes,3108,1751281,272614,52.0,1452.0,174.75,0.0,5652,0.99,0.03,0.0,36.27,0.6,717.89,1
1-com.litvinka.lwp.passionatedancer,602,220616,69469,60.0,184.0,216.41,0.0,2852,1.13,0.0,0.0,11.76,0.31,282.8,1
1-com.litvinka.lwp.girlwithafieryviolin,682,306170,116991,60.0,145.0,328.63,0.0,5652,1.06,0.03,0.0,9.55,0.46,398.12,1
1-com.appsministry.litres.book3357255,946,435321,163356,60.0,205.5,327.37,0.0,4252,1.1,0.0,0.09,36.06,0.34,289.77,1
1-com.redtagapps.brokenglasswidget.brokenglass,847,385736,168873,61.0,125.0,377.79,0.0,4252,1.1,0.0,0.0,67.75,0.34,245.13,1
0-com.caterpillar264.nostalgiebelgique70radioenlignegratuit,285,190032,29052,52.0,1452.0,244.13,0.0,2888,0.72,0.0,0.0,0.06,0.57,579.21,0
0-com.soyluna.dangerous.trip,225,171135,26898,52.0,1452.0,309.17,0.0,4252,0.63,0.0,0.0,0.06,0.71,803.67,0
0-com.radiostechnologydesing.OracionesparacadaDiaOracionesPoderosasGratis,17874,16344664,528808,127.0,1552.0,563.29,0.0,5776,1.23,0.34,0.04,23.38,1.71,1559.79,0
0-com.teamta.trollmania,106,31143,10132,60.0,79.0,184.22,0.0,1452,1.08,0.0,0.06,0.1,0.4,259.75,0
0-businessoft.com.economiccalculations,193,156041,14084,52.0,1470.0,195.61,0.0,2888,0.6,0.0,0.0,0.07,0.88,1061.6,0
1-adworldwide.avenger,1249,572810,240912,52.0,90.0,371.78,0.0,4252,1.07,0.0,0.0,2.33,0.45,329.97,1
1-com.yingyang.livewallpaper,902,397078,162429,61.0,149.5,345.59,0.0,4252,1.08,0.0,0.04,44.3,0.41,353.75,1
0-withclassic.mobile,11853,10087593,385521,156.0,4500.0,320.32,0.0,5019,2.56,0.28,0.13,26.32,2.51,3410.39,0
0-com.sunny.polandballnsfworld,5905,5008231,195052,64.0,1500.0,77.74,0.0,1470,0.74,0.0,0.0,0.94,0.68,977.61,0
0-com.membersgram.android.two,2059,1504520,130931,124.0,2728.0,302.0300000000001,0.0,2748,1.44,0.0,0.01,99.68,2.0700000000000003,2749.0,0
0-com.pickeos.gotolightsetup,536,321734,39510,61.0,1278.0,181.24,0.0,1278,0.69,0.03,0.03,5.29,0.41,396.27,0
0-se.coreit.aikhockey,218,97905,19862,52.0,597.0,164.15,0.0,1480,1.25,0.0,0.0,0.12,0.26,241.13,0
1-com.book.mbpl.footballquotes1,1034,429445,150830,60.0,149.0,279.31,0.0,7052,1.09,0.0,0.0,0.97,0.5,413.89,1
0-com.om.jurassic.dinosaurs.battle,2330,1068630,197960,166.0,1044.5,515.03,0.02,4441,5.19,0.54,1.0,12.22,1.4600000000000002,862.5799999999998,0
0-com.greyolltwit.clocksolitaire,265,171928,25484,116.0,1510.0,279.58,0.02,2935,2.03,0.07,0.0,0.06,1.21,926.19,0
0-apps.infinite.hairtrimmersound,470,324859,154143,83.0,60.0,794.55,0.0,5861,0.7,0.02,0.0,0.07,0.72,374.65,0
0-com.maximsocial.bugshooterfree,348,268153,24021,52.0,1452.0,166.81,0.0,5652,0.71,0.84,0.77,0.07,0.91,1177.72,0
1-com.stoni,687,308345,111298,60.0,161.5,312.63,0.0,4252,1.06,0.11,0.0,1.11,0.44,412.72,1
0-droid.photokeypad.myphotokeyboard.neondragon,9,487,315,52.0,46.0,63.0,0.02,83,1.25,0.05,0.0,118.05,0.33,6.83,0
0-com.xiuxin.instagram.unfollow,2,104,52,52.0,52.0,52.0,0.02,52,1.0,0.0,0.12,3.88,0.5,0.5,0
1-com.xdroid.iphone4.eiffel.tower,851,355011,106815,52.0,217.0,232.21,0.0,4209,1.06,0.0,0.11,1.99,0.43,437.53,1
0-air.com.eightgames.SciFiShipEscape,16,2178,932,83.0,90.0,133.14,0.01,433,0.78,0.0,0.01,0.01,0.86,108.0,0
0-com.zumbaclassicdventure.gamemarble,447,257631,56099,116.0,976.0,347.47,0.02,2964,4.78,0.78,0.04,0.04,0.88,663.2,0
0-com.shanplusgame.pokdeng,434,117626,108771,152.0,140.0,840.24,0.01,9660,2.56,0.85,0.85,0.51,2.83,941.98,0
0-com.tripwolf.miniapp_17733_free,1569,872611,71842,92.0,1423.0,150.25,0.02,1522,2.02,0.02,0.04,0.08,0.8500000000000001,667.0,0
0-free.find.difference149,327,196517,29575,52.0,1470.0,206.82,0.0,4306,0.78,0.0,0.0,3.68,0.68,759.45,0
0-com.pacificmagazines.bridetobe,139,43597,13269,52.0,262.0,152.52,0.0,502,1.67,0.03,0.0,0.25,0.06,54.53,0
0-com.subsplashconsulting.s_KHCD9F,369,208046,48858,178.0,1211.0,421.3,0.0,1404,2.22,0.05,0.0,0.15,0.8200000000000001,800.96,0
1-pscgame.com.androidskylanternlwp,8,1116,996,76.0,40.0,199.2,0.01,404,1.0,0.0,0.0,0.5,0.5,10.25,1
0-com.bestnametattooslettering.pitlord,320,199339,25125,104.0,1510.0,226.3,0.02,2964,1.6800000000000002,0.05,0.0,0.12,1.37,794.36,0
1-dof.do50,875,370395,133739,60.0,154.0,293.29,0.0,7052,1.08,0.03,0.0,17.55,0.44,377.36,1
1-com.hsj.bcae7,5852,1044375,603542,60.0,52.0,200.18,0.01,5652,1.06,0.21,0.18,0.52,0.33,70.17,1
1-com.sound.recoder.soundrecorder,16557,2003256,1576255,60.0,52.0,186.83,0.01,1452,1.04,0.0,0.04,0.02,0.26,12.99,1
1-com.meshrefapp.kidszoo,19996,2358568,1870424,60.0,52.0,182.52,0.01,468,1.05,0.0,0.02,0.5,0.25,12.06,1
0-net.nexus_web.LArcOfficial,164,39461,10565,52.0,60.0,121.44,0.0,569,1.13,0.0,0.1,0.12,0.42,268.61,0
