apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
0-com.caksys.website7apk.pcap,247,165150,2,0,0,233,14,113,21213,134,143937,6.79,52,1470,187.73,1074.16,0,1470,1470,0.84,0,0.57,0.38,0.07,71.26,0.07,0.5,0.07,591.44,0.07,0
0-com.caksys.website7apk.pcap,16,3562,2,0,0,247,2,7,1983,8,1514,0.76,60,146,283.29,189.25,0,1095,792,0.88,0.02,0.03,0.33,1,74.78,1,0.44,1,135.33,1,0
0-com.candyfriendsd.matchs3games.pcap,366,213178,16,0,0,303,63,170,37035,196,176143,4.76,60,1470,217.85,898.69,0,2888,2888,0.87,0.28,0,0.44,0.03,121.59,5.42,0.69,0.02,818.97,0.02,0
0-com.car.driving2.pcap,4480,3687873,40,21,0,4427,53,1865,182881,2621,3505526,19.17,52,1470,98.06,1337.48,0,4306,4148,0.71,0,0,0.52,0.02,58.08,0.02,0.97,0.02,1366.36,0.02,0
0-com.car.driving2.pcap,5,1231,3,0,0,4429,3,4,1142,1,89,0.08,510.5,89,285.5,89,0,932,89,4,0,0,0.52,0.02,58.08,0.02,0.97,0.02,1366.36,0.02,0
0-com.car.racing.impossible.extreme.tracks.pcap,2299,1686502,32,0,0,2250,49,1035,124444,1264,1562058,12.55,60,1500,120.24,1235.81,0,2888,2948,0.82,0.05,0,0.56,0.02,60.23,0.02,0.82,0.02,1123.58,0.02,0
0-com.car.racing.impossible.extreme.tracks.pcap,178,48249,12,0,0,111,116,89,24131,88,24035,1,61,58.5,271.13,273.12,0,2888,1500,1.01,0.03,0,0.26,0.05,81.3,23.82,0.44,0.02,196.77,0.02,0
0-com.carlevans.squad_selector.pcap,21,3273,8,0,0,13,8,14,2071,13,1736,0.84,89,89,147.93,133.54,0.01,579,639,1.08,0.57,0.57,0.33,0.12,74.78,0.12,0.33,0.12,94.89,0.12,0
0-com.carlevans.squad_selector.pcap,8,6847,2,0,0,19,2,7,6758,1,89,0.01,569,89,965.43,89,0,2852,89,7,0,0,2.5,1,2579,1,0.5,1,0.5,1,0
0-com.CartersSimonson.NeatBlock.pcap,4886,4250401,18,0,0,4868,18,2071,162837,2815,4087564,25.1,72,1500,78.63,1452.07,0,3625,2948,0.74,0.04,0,0.72,0.06,56.42,0.06,1.17,0.06,1735.65,0.06,0
0-com.CartersSimonson.NeatBlock.pcap,11,776,2,0,0,9,20,5,349,5,302,0.87,76,52,69.8,60.4,0.01,91,94,1,0.03,0,0.75,0.5,32.25,0.5,0.75,0.5,26.25,0.5,0
0-com.casualgames.CandyCrunch.pcap,502,314702,24,2,0,465,37,234,51266,268,263436,5.14,52,1452,219.09,982.97,0,2888,2852,0.87,0.02,0,0.72,0.03,177.38,0.03,0.96,0.03,1154.63,0.03,0
0-com.caterpillar264.nostalgiebelgique70radioenlignegratuit.pcap,285,190032,6,0,0,267,18,119,29052,166,160980,5.54,52,1452,244.13,969.76,0,2888,1470,0.72,0,0,0.25,0.06,125.2,0.06,0.57,0.06,579.21,0.06,0
0-com.catguiderevolt.guideroyalrevolt.pcap,227,178886,8,0,0,207,20,93,31586,134,147300,4.66,52,1470,339.63,1099.25,0,4306,2888,0.69,0.02,0,0.37,0.05,145.73,0.05,0.78,0.05,796.47,0.05,0
0-com.cbg.tappy.fidget2018.pcap,374,227415,12,0,0,349,25,163,49683,211,177732,3.58,52,1166,304.8,842.33,0,4306,2888,0.77,0.88,0,0.25,0.04,95.88,0.04,0.55,0.04,540.31,0.04,0
0-com.cerezosoft.deportes.pcap,1171,673220,26,7,0,860,311,544,101543,627,571677,5.63,52,1278,186.66,911.77,0,2888,1470,0.87,0,0,0.51,0.03,95.12,4.96,0.65,0,779.84,0,0
0-com.chakkitpp.greanflip.pcap,315,198164,16,0,0,286,29,139,26317,176,171847,6.53,52,1470,189.33,976.4,0,2888,2852,0.79,0,0,0.25,0.03,73.59,0.03,0.48,0.03,568.55,0.03,0
0-com.chanceapp.changecolor.harigirl.pcap,2,100,0,0,0,2,0,1,60,1,40,0.67,60,40,60,40,0.02,60,40,1,0,0,0.5,0.03,0.5,0.03,0.5,0.03,0.5,0.03,0
0-com.changeyour.voice.pcap,331,207183,4,0,0,315,16,161,42948,170,164235,3.82,52,1470,266.76,966.09,0,4306,2948,0.95,0,0,0.51,0.06,134.58,0.06,0.52,0.06,559.81,0.06,0
0-com.checkpoint.checkstore.pcap,33,9836,2,0,0,14,19,16,5142,17,4694,0.91,90.5,92,321.38,276.12,0,1470,1278,0.94,0.06,0,0.57,0.11,48.86,5.89,0.71,0.06,168.14,0.06,0
0-com.checkpoint.checkstore.pcap,3,175,0,0,0,3,19,1,52,1,40,0.77,52,40,52,40,0.02,52,40,1,0.05,0,0.5,0.11,0.5,5.89,0.5,0.06,0.5,0.06,0
0-com.ChocolateSurpriseEggsRobot.pcap,1033,690746,14,1,0,949,83,468,420982,565,269764,0.64,114.5,52,899.53,477.46,0,5724,2852,0.83,0,0,0.61,0.05,687.64,5.99,0.89,0.01,428.53,0.01,0
0-com.christmascakerecipes.bestfreechristmascakes.pcap,628,439307,6,0,0,610,18,257,240116,371,199191,0.83,224,52,934.3,536.9,0,4306,1470,0.69,0,0,0.59,0.06,817.6,0.06,1.06,0.06,522.23,0.06,0
0-com.cilexigames.tractor.concrete.excavator.simulator3d.pcap,201,155601,2,0,0,186,15,79,13265,122,142336,10.73,52,1470,167.91,1166.69,0,1452,2888,0.65,0,0,0.3,0.07,81.95,0.07,0.77,0.07,909.7,0.07,0
0-com.cilexigames.tractor.concrete.excavator.simulator3d.pcap,12,638,0,0,0,12,15,5,315,6,240,0.76,52,40,63,40,0.02,83,40,0.83,0.05,0,0.5,0.07,17.5,0.07,0.67,0.07,20.17,0.07,0
0-com.citadel.sascoc.pcap,15,1001,2,0,0,13,2,7,465,8,536,1.15,52,52,66.43,67,0.01,98,132,0.88,0,0.11,0.38,0.5,17,0.5,0.5,0.5,19.62,0.5,0
0-com.cmcflex.ftmobile.atc.pcap,139,44370,8,0,0,72,67,73,22606,66,21764,0.96,64,81.5,309.67,329.76,0,1278,1500,1.11,0,0,0.47,0.1,51.58,55.21,0.47,0.02,219,0.02,0
0-com.cmcflex.ftmobile.atc.pcap,8,1139,0,0,0,8,67,3,132,4,609,4.61,40,245.5,44,152.25,0.01,52,413,0.75,0.03,0.66,1.5,0.1,46.5,55.21,2,0.02,285,0.02,0
0-com.CogentEducation.ICCellRespiration.pcap,380,155680,14,0,0,85,295,206,100048,174,55632,0.56,98.5,95.5,485.67,319.72,0,1470,2888,1.18,0,0,0.33,0.09,72.15,82.62,0.28,0,263.57,0,0
0-com.CogentEducation.ICCellRespiration.pcap,226,92669,8,0,0,151,370,109,29874,116,61911,2.07,61,222,274.07,533.72,0,1470,1470,0.94,0.03,0.1,0.28,0.12,63.58,45.22,0.44,0.01,251.52,0.01,0
0-com.companyname.KillTeam.pcap,30,3151,0,0,0,30,0,18,1699,12,1452,0.85,52,94.5,94.39,121,0.01,504,347,1.5,0.16,0,1.4,0.12,133.6,45.22,0.8,0.01,89.8,0.01,0
0-com.companyname.Plaguinator.pcap,16,2164,0,0,0,16,0,6,842,10,1322,1.57,126.5,110,140.33,132.2,0.01,433,347,0.6,0,0.02,0.57,0.12,98.14,45.22,1,0.01,117.14,0.01,0
0-com.concapps.werkina.pcap,121,107928,6,2,0,115,6,47,2531,74,105397,41.64,40,1500,53.85,1424.28,0,266,4420,0.64,0.14,0,1.07,0.17,49.89,0.17,2.26,0.17,3495.59,0.17,0
0-com.concapps.werkina.pcap,11659,9549010,36,0,0,8482,3183,4409,441382,7249,9107545,20.63,52,1432,100.11,1256.39,0,1480,2960,0.61,0.03,0,0.4,0.03,32.05,11.38,0.71,0,967.85,0,0
0-com.contact_rskgroups.MLM_AD.pcap,2159,1370569,26,0,0,1701,456,965,177294,1194,1193275,6.73,60,1278,183.72,999.39,0,5734,2948,0.81,0.02,0,0.49,0.02,95.59,2.93,0.68,0,745.99,0,0
0-com.cozi.androidfree.pcap,374,103415,22,6,0,328,45,199,39249,175,64166,1.63,60,83,197.23,366.66,0,1470,1470,1.14,0,0,0.41,0.05,96.43,1.45,0.36,0.02,188.8,0.02,0
0-com.cpe.birthdayphotocollageframes.pcap,376,219892,8,1,0,355,21,188,42027,188,177865,4.23,52,1452,223.55,946.09,0,4252,1470,1,0,0,0.58,0.05,153.94,0.05,0.56,0.05,610.31,0.05,0
0-com.cqsoluciones.radio.fmlider1009.pcap,163,47840,6,0,0,136,27,88,14890,83,33430,2.25,60,94,169.2,402.77,0,1278,2888,1.06,0,0.12,0.9,0.04,136.37,0.04,0.87,0.04,399.1,0.04,0
0-com.croatianradiosfmlive.pcap,433,203449,29,7,0,370,62,212,35206,221,168243,4.78,52,394,166.07,761.28,0,1470,2888,0.96,0.03,0,0.53,0.03,100.23,1.79,0.63,0.02,620.06,0.02,0
0-com.croatianradiosfmlive.pcap,40,10008,8,2,0,400,10,19,7391,20,2553,0.35,64,56,389,127.65,0,4306,1015,0.95,0.16,0.23,0.47,0.11,138.13,0.11,0.67,0.11,109.2,0.11,0
